SCRIP CODE,NAME OF COMPANY
540359,Parmax Pharma Ltd
538646,QGO Finance Ltd
511702,Parsharti Investment Ltd
526349,Parth Industries Ltd
511734,Pasupati Fincap Ltd
535658,Pawansut Holdings Ltd
504335,Pazel International Ltd
513405,Pennar Aluminium Company Ltd
530381,Petron Engineering Construction Ltd
500143,PH Capital Ltd
512026,PH Trading Ltd
524572,Pharmaids Pharmaceuticals Ltd
526588,Photoquip India Ltd
524808,Phyto Chem India Ltd
539007,Pincon Lifestyle Ltd
532979,Piramal Phytocare Ltd
530683,Pithampur Poly Products Ltd
523105,Planters Polysacks Ltd
512481,Polytex India Ltd
531855,Prabhav Industries Ltd
533178,Pradip Overseas Ltd
526490,Pratik Panels Ltd
502850,Gaekwar Mills Ltd
500540,Premier Ltd
519299,Prime Industries Ltd
531735,Prism Finance Ltd
512217,Prism Medico and Pharmacy Ltd
526009,Procal Electronics India Ltd
531265,Progressive Extractions & Exports Ltd
532647,Provogue (India) Ltd
531221,Mayur Floorings Ltd
512099,Punit Commercials Ltd
538596,Quantum Build-Tech Ltd
538452,Quasar India Ltd
535719,Quest Softech (India) Ltd
532866,Quintegra Solutions Ltd
524502,Raaj Medisafe India Ltd
526813,Raghunath International Ltd
531887,Rahul Merchandising Ltd
531694,Rainbow Foundations Ltd
523523,Rainbow Papers Ltd
530699,Raj Rayon Industries Ltd
526873,Rajasthan Gases Ltd
506975,Rajasthan Petro Synthetics Ltd
507962,Rajath Finance Ltd
526823,Rajeswari Infrastructure Ltd
514028,Rajkamal Synthetics Ltd
539090,Rajputana Investment and Finance Ltd
512409,Rajsanket Realty Ltd
532665,Rajvir Industries Ltd
532690,Ramsarup Industries Ltd
531228,Rander Corporation Ltd
531522,Rasoya Proteins Ltd
507652,Ratnamani Agro Industries Ltd
531207,Raymed Labs Ltd
532024,RB Gupta Financials Ltd
531825,RCC Cements Ltd
530053,Real News & Views Ltd
523650,Redex Protech Ltd
531033,Regal Entertainment & Consultants Ltd
530807,Regaliaa Realty Ltd
511585,Regency Trust Ltd
526075,Rekvina Laboratories Ltd
538273,Response Informatics Ltd
533017,Resurgere Mines & Minerals India Ltd
519191,Retro Green Revolution Ltd
532766,Richa Industries Ltd
519230,Richirich Inventures Ltd
507508,Riga Sugar Company Ltd
514177,Rishab Special Yarns Ltd
532731,Rohit Ferro-Tech Ltd
531324,Roselabs Finance Ltd
539922,Rotographics (India) Ltd
539561,Roxy Exports Ltd
526193,Royal Cushion Vinyl Products Ltd
530179,RSC International Ltd
512565,RT Exports Ltd
531099,Rubra Medicaments Ltd
540696,Ruchika Industries India Ltd
532316,S Kumars.Com Ltd
538876,S T Services Ltd
540081,SAB Events & Governance Now Media Ltd
540132,Sabrimala Industries India Ltd
539346,Sadbhav Infrastructure Project Ltd
532034,Safal Herbs Ltd
531448,Safal Securities Ltd
532092,Sagar Productions Ltd
509099,Oswal Leasing Ltd
530669,Prem Somani Financial Services Ltd
526085,Sagar Tourist Resorts Ltd
530905,Sai Industries Ltd
540066,Sai Moh Auto Links Ltd
500371,Samtel India Ltd
521206,Samtex Fashions Ltd
509423,Sanathnagar Enterprises Ltd
539392,Sang Froid Labs (India) Ltd
534618,Sangam Renewables Ltd
511640,Sanghi Corporate Services Ltd
531569,Sanjivani Paranteral Ltd
530035,Santosh Fine Fab Ltd
519238,Saptarishi Agro Industries Ltd
516032,Sarda Papers Ltd
519242,Sarda Proteins Ltd
511577,Savani Financials Ltd
517320,Savant Infocomm Ltd
526081,SC Agrotech Ltd
516110,Scandent Imaging Ltd
507894,Schablona India Ltd
538857,Scintilla Commercial & Credit Ltd
530361,Sea Gold Aqua Farms Ltd
533268,Sea TV Network Ltd
521182,Seasons Furnishings Ltd
524540,Secunderabad Healthcare Ltd
538875,Sellwin Traders Ltd
532021,Senbo Industries Ltd
531980,Senthil Infotek Ltd
531944,Servoteach Industries Ltd
532993,Sezal Glass Ltd
530867,SFL International Ltd
531931,Sai Capital Ltd
524546,Shaba Chemicals Ltd
539895,Shalimar Agencies Ltd
512297,Shantai Industries Ltd
539584,Sharanam Infraproject and Trading Ltd
