SCRIP CODE,NAME OF COMPANY
530057,Vivanza Biosciences Ltd
509038,Voltaire Leasing & Finance Ltd
523888,VR Woodart Ltd
519331,VSF Projects Ltd
504220,W. S. Industries (India) Ltd
524661,Welcure Drugs & Pharmaceuticals Ltd
532016,Wellesley Corporation Ltd
526431,Welterman International Ltd
519214,Williamson Financial Services Ltd
507892,Winsome Diamonds and Jewellery Ltd
538873,Winy Commercial & Fiscal Services Ltd
511642,Wisec Global Ltd
531396,Women Networks Ltd
505504,Sindu Valley Technologies Ltd
538451,Worth Investment & Trading Co Ltd
532788,XL Energy Ltd
531693,Yantra Natural Resources Ltd
514378,Yarn Syndicate Ltd
531260,Sunedison Infrastructure Ltd
536846,Yuranus Infrastructure Ltd
531663,Yuvraaj Hygiene Products Ltd
531845,Zenith Birla (India) Ltd
508900,Zenith Capitals Ltd
531404,Zicom Electronic Security Systems Ltd
532883,Zylog Systems Ltd
